ID,price_usd,surface_total,surface_covered,floor,rooms,expenses
222,250000.0,150,140,0.0,6,0.0
4224,399000.0,164,155,0.0,4,0.0
318,130500.0,52,47,0.0,2,0.0
6122,124000.0,68,55,0.0,3,0.0
8378,210000.0,93,81,0.0,4,0.0
10132,320000.0,260,210,0.0,4,0.0
8645,157000.0,125,45,0.0,2,0.0
4596,340000.0,76,67,3.0,3,0.0
6782,185000.0,60,60,0.0,3,0.0
9871,97000.0,42,38,7.0,2,0.0
8302,245000.0,98,90,0.0,3,0.0
9161,179000.0,90,90,0.0,4,0.0
7588,85100.0,37,33,0.0,1,0.0
7006,123000.0,70,70,8.0,2,0.0
8403,85000.0,35,30,0.0,1,2820.0
4438,134000.0,52,52,0.0,2,5000.0
7197,90000.0,46,29,0.0,1,0.0
1028,260000.0,74,67,0.0,3,0.0
6930,1150000.0,388,388,0.0,8,0.0
9449,95000.0,50,50,10.0,1,0.0
7738,89000.0,78,39,2.0,1,0.0
7962,258000.0,70,70,0.0,3,3500.0
98,132000.0,43,41,7.0,1,0.0
4155,240000.0,90,72,0.0,4,0.0
7385,330000.0,163,163,1.0,6,0.0
7658,145000.0,48,43,0.0,2,0.0
9501,250000.0,180,120,0.0,4,0.0
7888,230000.0,107,104,0.0,3,0.0
747,85000.0,21,21,2.0,1,0.0
4218,210000.0,76,73,5.0,3,0.0
7987,450000.0,133,113,0.0,4,6000.0
662,235000.0,70,62,0.0,3,0.0
8456,168000.0,60,48,0.0,2,0.0
1268,77000.0,54,54,0.0,3,0.0
3512,125000.0,43,36,0.0,1,1850.0
870,370000.0,125,117,0.0,4,0.0
2965,375000.0,155,155,0.0,4,5200.0
10446,120000.0,44,40,0.0,2,0.0
5040,450000.0,62,62,0.0,2,0.0
6963,565000.0,184,170,0.0,5,0.0
36,170000.0,71,64,0.0,3,0.0
3770,580000.0,224,199,0.0,6,0.0
10465,145000.0,55,52,0.0,3,0.0
1039,439000.0,186,89,2.0,4,0.0
5909,450000.0,161,140,0.0,5,0.0
1356,1800000.0,410,410,0.0,9,0.0
5666,148000.0,49,46,0.0,2,2200.0
2298,145000.0,46,41,1.0,2,0.0
800,167000.0,47,45,0.0,2,0.0
4776,219000.0,74,74,11.0,3,0.0
7465,95000.0,40,40,0.0,1,1700.0
9982,164000.0,43,35,0.0,1,0.0
4232,165000.0,56,56,0.0,3,0.0
1701,210000.0,66,60,0.0,3,4500.0
762,710000.0,533,290,0.0,7,22000.0
9385,390000.0,124,106,0.0,4,0.0
395,500000.0,180,168,0.0,4,5000.0
296,295000.0,114,85,0.0,4,0.0
10058,850000.0,106,106,0.0,2,12000.0
8035,159000.0,63,63,0.0,3,0.0
9033,245000.0,61,61,0.0,2,1.0
1806,87000.0,30,30,0.0,2,0.0
2789,3500000.0,474,474,3.0,7,0.0
2471,180000.0,68,2,0.0,2,0.0
2995,234000.0,106,95,0.0,4,0.0
6430,125000.0,69,64,1.0,3,0.0
7423,79000.0,24,24,5.0,1,0.0
4962,850000.0,546,335,0.0,9,0.0
