ID,price_usd,surface_total,expenses
222,250000.0,150,0.0
4224,399000.0,164,0.0
318,130500.0,52,0.0
6122,124000.0,68,0.0
8378,210000.0,93,0.0
10132,320000.0,260,0.0
8645,157000.0,125,0.0
4596,340000.0,76,0.0
6782,185000.0,60,0.0
9871,97000.0,42,0.0
8302,245000.0,98,0.0
9161,179000.0,90,0.0
7588,85100.0,37,0.0
7006,123000.0,70,0.0
8403,85000.0,35,2820.0
4438,134000.0,52,5000.0
7197,90000.0,46,0.0
1028,260000.0,74,0.0
6930,1150000.0,388,0.0
9449,95000.0,50,0.0
7738,89000.0,78,0.0
7962,258000.0,70,3500.0
98,132000.0,43,0.0
4155,240000.0,90,0.0
7385,330000.0,163,0.0
7658,145000.0,48,0.0
9501,250000.0,180,0.0
7888,230000.0,107,0.0
747,85000.0,21,0.0
4218,210000.0,76,0.0
7987,450000.0,133,6000.0
662,235000.0,70,0.0
8456,168000.0,60,0.0
1268,77000.0,54,0.0
3512,125000.0,43,1850.0
870,370000.0,125,0.0
2965,375000.0,155,5200.0
10446,120000.0,44,0.0
5040,450000.0,62,0.0
6963,565000.0,184,0.0
36,170000.0,71,0.0
3770,580000.0,224,0.0
10465,145000.0,55,0.0
1039,439000.0,186,0.0
5909,450000.0,161,0.0
1356,1800000.0,410,0.0
5666,148000.0,49,2200.0
2298,145000.0,46,0.0
800,167000.0,47,0.0
4776,219000.0,74,0.0
7465,95000.0,40,1700.0
9982,164000.0,43,0.0
4232,165000.0,56,0.0
1701,210000.0,66,4500.0
762,710000.0,533,22000.0
9385,390000.0,124,0.0
395,500000.0,180,5000.0
296,295000.0,114,0.0
10058,850000.0,106,12000.0
8035,159000.0,63,0.0
9033,245000.0,61,1.0
1806,87000.0,30,0.0
2789,3500000.0,474,0.0
2471,180000.0,68,0.0
2995,234000.0,106,0.0
6430,125000.0,69,0.0
7423,79000.0,24,0.0
4962,850000.0,546,0.0
2538,110000.0,44,2000.0
4295,139000.0,43,0.0
7992,270923.0,79,0.0
4996,185000.0,92,0.0
5732,59500.0,30,0.0
10252,234000.0,82,0.0
1023,270000.0,110,3900.0
1618,550000.0,82,5000.0
8311,190000.0,88,0.0
6669,130000.0,65,0.0
